Entity,Code,Year,Spending,Arrivals,Average_Spending_Per,latitude,longitude,Miles_From_USA,Single_Flight_Cost,Round_Flight_Cost
Albania,ALB,2024,5919546400.0,11483000.0,515.505,41.153332,20.168331,4904.96034813459,625.9712330727862,1251.94
Antigua and Barbuda,ATG,2024,1055187000.0,330200.0,3195.6,17.060816,-61.796428,1946.830393226006,344.94888735647055,689.9
Argentina,ARG,2024,5385094700.0,6603877.0,815.444,-38.416097,-63.616672,5545.95318165934,686.8655522576373,1373.73
Armenia,ARM,2024,2723613700.0,2208000.0,1233.521,40.069099,45.038189,5888.725667600924,719.4289384220878,1438.86
Bahamas,BHS,2024,5543217700.0,1869133.0,2965.663,25.03428,-77.39628,1075.01014691291,262.1259639567264,524.25
Bahrain,BHR,2024,4227000000.0,6618000.0,638.713,25.930414,50.637772,6862.984277780872,811.9835063891828,1623.97
Belgium,BEL,2024,10451387000.0,9638000.0,1084.394,50.503887,4.469936,3926.1092410719207,532.9803779018325,1065.96
Bosnia and Herzegovina,BIH,2024,2023637000.0,1388775.0,1457.138,43.915886,17.679076,4689.496485542745,605.5021661265607,1211.0
Brazil,BRA,2024,7355238400.0,6773619.0,1085.865,-14.235004,-51.92528,4184.724282900951,557.5488068755903,1115.1
Canada,CAN,2024,49886030000.0,19913000.0,2505.199,56.130366,-106.346771,1607.678394955918,312.7294475208122,625.46
Chile,CHL,2024,4540992000.0,5239233.0,866.728,-35.675147,-71.542969,5286.513356244417,662.2187688432196,1324.44
Costa Rica,CRI,2024,5616290300.0,2919483.0,1923.728,9.748917,-83.753428,2133.0871035345167,362.6432748357791,725.29
Cyprus,CYP,2024,3906131700.0,4040200.0,966.816,35.126413,33.429859,5719.304616914697,703.3339386068963,1406.67
Dominican Republic,DOM,2024,10972401000.0,8535701.0,1285.472,18.735693,-70.162651,1609.2321225393614,312.87705164123935,625.75
El Salvador,SLV,2024,3922236400.0,3186988.5,1230.703,13.794185,-88.89653,1918.1846716200332,342.22754380390313,684.46
Finland,FIN,2024,6076182500.0,4475000.0,1357.806,61.92411,25.748151,4258.394614598571,564.5474883868642,1129.09
Georgia,GEO,2024,4883330000.0,5092000.0,959.02,42.315407,43.356892,5713.251363052077,702.7588794899473,1405.52
Germany,DEU,2024,40129450000.0,37420000.0,1072.406,51.165691,10.451526,4138.535725591625,553.1608939312043,1106.32
Hong Kong,HKG,2024,22458415000.0,21943900.0,1023.447,22.396428,114.109497,8001.428618122222,920.1357187216112,1840.27
Hungary,HUN,2024,10909951000.0,13155000.0,829.339,47.162494,19.503304,4631.367181842645,599.9798822750513,1199.96
India,IND,2024,37019107000.0,9824000.0,3768.232,20.593684,78.96288,8007.918749596145,920.7522812116338,1841.5
Indonesia,IDN,2024,17747680000.0,13603000.0,1304.689,-0.789275,113.921327,9561.453533227494,1068.3380856566118,2136.68
Israel,ISR,2024,2469800000.0,961000.0,2570.031,31.046051,34.851612,5978.680763737108,727.9746725550252,1455.95
Italy,ITA,2024,61433938000.0,57725000.0,1064.252,41.87194,12.56738,4556.408838570834,592.8588396642292,1185.72
Japan,JPN,2024,58625570000.0,36870000.0,1590.062,36.204824,138.252924,6611.600447789125,788.1020425399669,1576.2
Kazakhstan,KAZ,2024,2822822700.0,10381566.0,271.907,48.019573,66.923684,5998.06572424549,729.8162438033215,1459.63
Lithuania,LTU,2024,1915528800.0,2383300.0,803.73,55.169438,23.881275,4466.736153538595,584.3399345861666,1168.68
Malta,MLT,2024,6581845000.0,3563600.0,1846.965,35.937496,14.375416,4871.448019815708,622.7875618824922,1245.58
Mexico,MEX,2024,36239254000.0,45038750.0,804.624,23.634501,-102.552784,1749.3153150262306,326.1849549274919,652.37
Moldova,MDA,2024,933160000.0,254020.0,3673.569,47.411631,28.369885,4948.657241055085,630.1224379002331,1260.24
Mongolia,MNG,2024,737000000.0,727000.0,1013.755,46.862496,103.846656,6400.172425769804,768.0163804481314,1536.03
New Zealand,NZL,2024,9569601000.0,3175839.0,3013.251,-40.900557,174.885971,8642.396984364235,981.0277135146024,1962.06
Nigeria,NGA,2024,344372400.0,538927.2,638.996,9.081999,8.675277,5742.991338354665,705.5841771436932,1411.17
Paraguay,PRY,2024,779860160.0,1061000.0,735.024,-23.442503,-58.443832,4626.493613745385,599.5168933058117,1199.03
Poland,POL,2024,16837000000.0,19723000.0,853.673,51.919438,19.145136,4432.390399739728,581.0770879752743,1162.15
Portugal,PRT,2024,35357237000.0,28970000.0,1220.478,39.399872,-8.224454,3692.2655920307816,510.76523124292424,1021.53
Romania,ROU,2024,6154642000.0,13353000.0,460.918,45.943161,24.96676,4889.135470842834,624.4678697300692,1248.94
Saudi Arabia,SAU,2024,46338370000.0,29727444.0,1558.774,23.885942,45.079162,6763.502562240716,802.532743412868,1605.07
Singapore,SGP,2024,23848604000.0,13025000.0,1830.987,1.352083,103.819836,9539.304325801957,1066.2339109511859,2132.47
Slovenia,SVN,2024,3672619000.0,5054000.0,726.676,46.151241,14.995463,4494.160266614922,586.9452253284176,1173.89
South Africa,ZAF,2024,6722889000.0,8919000.0,753.772,-30.559482,22.937506,8184.605031263028,937.5374779699877,1875.07
South Korea,KOR,2024,22003700000.0,16370000.0,1344.148,35.907757,127.766922,6874.89218348696,813.1147574312612,1626.23
Spain,ESP,2024,106656540000.0,93759300.0,1137.557,40.463667,-3.74922,3872.002204767375,527.8402094529006,1055.68
Trinidad and Tobago,TTO,2024,755459600.0,334000.0,2261.855,10.691803,-61.222503,2353.5546275959546,383.5876896216157,767.18
Ukraine,UKR,2024,1172000000.0,2482000.0,472.2,48.379433,31.16558,5002.1807691014465,635.2071730646373,1270.41
United Kingdom,GBR,2024,84546890000.0,38229570.0,2211.557,55.378051,-3.435973,3498.3706152382583,492.34520844763455,984.69
United States,USA,2024,251649000000.0,72390320.0,3476.28,37.09024,-95.712891,876.4569071771245,243.26340618182684,486.53
Uzbekistan,UZB,2024,3542196700.0,7957213.0,445.155,41.377491,64.585262,6363.506616979405,764.5331286130436,1529.07
